dataset,method,attack,corruption,participation,seed,acc_at_round10,acc_at_round25
cifar10,Bulyan,ipm,0.3,0.1,42,52.95,64.79
cifar10,Bulyan,ipm,0.2,0.5,42,55.93,62.31
cifar10,Bulyan,ipm,0.3,0.1,7,60.45,63.20
cifar10,Bulyan,ipm,0.2,0.5,7,59.59,62.06
cifar10,Bulyan,ipm,0.3,0.5,42,51.56,57.98
cifar10,Bulyan,ipm,0.3,0.5,7,56.94,57.35
cifar100,Bulyan,none,0.0,0.5,42,31.48,36.78
cifar100,Bulyan,none,0.0,0.5,7,31.75,36.92
cifar100,Bulyan,label_flip,0.2,0.5,42,23.21,30.13
cifar100,Bulyan,label_flip,0.2,0.5,7,24.48,28.36
cifar100,Bulyan,sign_flip,0.2,0.5,42,19.04,29.06
cifar100,Bulyan,sign_flip,0.2,0.5,7,19.27,27.82
cifar10,FLTrust,none,0.0,0.1,42,54.42,64.68
cifar10,FLTrust,none,0.0,0.1,7,54.40,60.37
cifar100,Bulyan,gaussian,0.2,0.5,42,24.88,31.59
cifar10,FLTrust,none,0.0,0.5,42,57.83,65.98
cifar100,Bulyan,gaussian,0.2,0.5,7,25.79,32.76
cifar10,FLTrust,label_flip,0.1,0.1,42,54.62,65.27
cifar10,FLTrust,none,0.0,0.5,7,59.10,67.44
cifar10,FLTrust,label_flip,0.1,0.1,7,54.26,53.36
cifar10,FLTrust,label_flip,0.2,0.1,42,52.75,62.06
cifar10,FLTrust,label_flip,0.2,0.1,7,54.04,51.14
cifar10,FLTrust,label_flip,0.1,0.5,42,56.60,65.51
cifar10,FLTrust,label_flip,0.3,0.1,42,50.04,62.03
cifar10,FLTrust,label_flip,0.1,0.5,7,57.61,65.81
cifar10,FLTrust,label_flip,0.2,0.5,42,55.63,63.53
cifar10,FLTrust,label_flip,0.3,0.1,7,47.87,53.44
cifar10,FLTrust,label_flip,0.2,0.5,7,57.60,64.94
cifar10,FLTrust,sign_flip,0.1,0.1,42,54.78,65.21
cifar10,FLTrust,sign_flip,0.1,0.1,7,54.25,55.19
cifar10,FLTrust,label_flip,0.3,0.5,42,53.89,62.23
cifar10,FLTrust,label_flip,0.3,0.5,7,55.89,63.45
cifar10,FLTrust,sign_flip,0.2,0.1,42,50.57,61.56
cifar10,FLTrust,sign_flip,0.2,0.1,7,54.80,54.50
cifar10,FLTrust,sign_flip,0.1,0.5,42,56.45,66.15
cifar10,FLTrust,sign_flip,0.3,0.1,42,43.55,59.52
cifar10,FLTrust,sign_flip,0.1,0.5,7,57.49,66.14
cifar10,FLTrust,sign_flip,0.2,0.5,42,55.27,64.23
cifar10,FLTrust,sign_flip,0.3,0.1,7,44.78,54.59
cifar10,FLTrust,sign_flip,0.2,0.5,7,57.32,65.16
cifar10,FLTrust,gaussian,0.1,0.1,42,55.38,65.11
cifar10,FLTrust,sign_flip,0.3,0.5,42,52.18,62.63
cifar10,FLTrust,gaussian,0.1,0.1,7,54.09,55.83
