method,attack,corruption,participation,seed,final_accuracy
FLTrust,gaussian,0.2,0.1,42,52.19
FLTrust,sign_flip,0.3,0.5,7,55.01
FLTrust,gaussian,0.1,0.5,42,56.25
FLTrust,gaussian,0.2,0.1,7,53.98
FLTrust,gaussian,0.1,0.5,7,57.41
FLTrust,gaussian,0.3,0.1,42,49.34
FLTrust,gaussian,0.2,0.5,42,55.23
FLTrust,gaussian,0.3,0.1,7,45.07
FLTrust,gaussian,0.2,0.5,7,57.02
FLTrust,alie,0.1,0.1,42,55.95
FLTrust,alie,0.1,0.1,7,54.31
FLTrust,gaussian,0.3,0.5,42,53.06
FLTrust,alie,0.2,0.1,42,55.37
FLTrust,gaussian,0.3,0.5,7,54.83
FLTrust,alie,0.1,0.5,42,57.68
FLTrust,alie,0.2,0.1,7,55.16
FLTrust,alie,0.1,0.5,7,57.14
FLTrust,alie,0.2,0.5,42,57.47
FLTrust,alie,0.3,0.1,7,47.12
FLTrust,alie,0.3,0.1,42,52.84
FLTrust,alie,0.2,0.5,7,57.39
FLTrust,alie,0.3,0.5,42,53.56
FLTrust,ipm,0.1,0.1,42,56.12
FLTrust,ipm,0.1,0.1,7,54.49
FLTrust,alie,0.3,0.5,7,55.64
FLTrust,ipm,0.2,0.1,7,55.11
FLTrust,ipm,0.2,0.1,42,55.64
FLTrust,ipm,0.1,0.5,42,56.74
FLTrust,ipm,0.2,0.5,42,55.84
FLTrust,ipm,0.1,0.5,7,56.44
FLTrust,ipm,0.3,0.1,42,52.68
FLTrust,ipm,0.2,0.5,7,57.10
FLTrust,ipm,0.3,0.1,7,47.39
FLTrust,ipm,0.3,0.5,42,53.04
FLTrust,ipm,0.3,0.5,7,55.31
SWB,none,0.0,0.1,42,50.50
SWB,none,0.0,0.1,7,56.24
SWB,none,0.0,0.5,42,60.72
SWB,none,0.0,0.5,7,60.56
SWB,label_flip,0.1,0.5,42,58.26
SWB,label_flip,0.1,0.5,7,59.27
SWB,label_flip,0.1,0.1,42,51.90
SWB,label_flip,0.1,0.1,7,56.20
SWB,label_flip,0.2,0.1,42,49.13
SWB,label_flip,0.2,0.1,7,53.69
SWB,label_flip,0.2,0.5,42,51.65
SWB,label_flip,0.2,0.5,7,54.95
SWB,label_flip,0.3,0.5,42,34.25
SWB,label_flip,0.3,0.1,42,31.97
SWB,label_flip,0.3,0.1,7,34.87
SWB,label_flip,0.3,0.5,7,46.75
SWB,sign_flip,0.1,0.1,42,49.32
SWB,sign_flip,0.1,0.1,7,52.25
SWB,sign_flip,0.1,0.5,42,56.41
SWB,sign_flip,0.1,0.5,7,56.56
SWB,sign_flip,0.2,0.5,42,46.50
SWB,sign_flip,0.2,0.5,7,53.44
SWB,sign_flip,0.2,0.1,42,10.25
SWB,sign_flip,0.2,0.1,7,44.27
SWB,sign_flip,0.3,0.1,42,10.00
SWB,sign_flip,0.3,0.5,42,33.94
SWB,sign_flip,0.3,0.1,7,31.18
SWB,sign_flip,0.3,0.5,7,40.34
SWB,gaussian,0.1,0.5,42,58.07
SWB,gaussian,0.1,0.1,42,50.51
SWB,gaussian,0.1,0.5,7,60.93
SWB,gaussian,0.1,0.1,7,53.96
SWB,gaussian,0.2,0.5,42,55.01
SWB,gaussian,0.2,0.1,42,47.91
SWB,gaussian,0.2,0.1,7,51.64
SWB,gaussian,0.2,0.5,7,56.18
SWB,gaussian,0.3,0.5,42,48.91
SWB,gaussian,0.3,0.1,42,51.91
SWB,gaussian,0.3,0.5,7,53.15
SWB,gaussian,0.3,0.1,7,45.69
SWB,alie,0.1,0.5,42,63.26
SWB,alie,0.1,0.1,42,54.87
SWB,alie,0.1,0.1,7,56.31
SWB,alie,0.1,0.5,7,63.87
SWB,alie,0.2,0.5,42,56.41
SWB,alie,0.2,0.5,7,55.86
SWB,alie,0.2,0.1,42,53.95
SWB,alie,0.2,0.1,7,55.56
SWB,alie,0.3,0.5,42,10.00
SWB,alie,0.3,0.1,42,47.41
SWB,alie,0.3,0.1,7,50.17
SWB,alie,0.3,0.5,7,30.98
SWB,ipm,0.1,0.5,42,56.24
SWB,ipm,0.1,0.1,42,54.21
SWB,ipm,0.1,0.1,7,56.53
SWB,ipm,0.1,0.5,7,59.31
SWB,ipm,0.2,0.5,42,45.08
SWB,ipm,0.2,0.5,7,46.74
SWB,ipm,0.2,0.1,7,53.83
SWB,ipm,0.2,0.1,42,49.39
SWB,ipm,0.3,0.5,42,10.00
SWB,ipm,0.3,0.5,7,8.40
SWB,ipm,0.3,0.1,42,54.57
SWB,ipm,0.3,0.1,7,48.13
SWB-DM,none,0.0,0.1,42,24.04
SWB-DM,none,0.0,0.5,42,49.65
SWB-DM,none,0.0,0.1,7,21.22
SWB-DM,none,0.0,0.5,7,54.69
SWB-DM,label_flip,0.1,0.5,42,49.80
SWB-DM,label_flip,0.1,0.5,7,51.75
SWB-DM,label_flip,0.1,0.1,42,23.64
SWB-DM,label_flip,0.1,0.1,7,18.34
SWB-DM,label_flip,0.2,0.1,42,18.67
SWB-DM,label_flip,0.2,0.5,42,47.08
SWB-DM,label_flip,0.2,0.1,7,11.20
SWB-DM,label_flip,0.2,0.5,7,47.80
SWB-DM,label_flip,0.3,0.5,42,40.40
SWB-DM,label_flip,0.3,0.1,42,16.61
SWB-DM,label_flip,0.3,0.1,7,13.40
SWB-DM,label_flip,0.3,0.5,7,44.21
SWB-DM,sign_flip,0.1,0.5,42,43.35
SWB-DM,sign_flip,0.1,0.1,42,19.89
SWB-DM,sign_flip,0.1,0.1,7,19.46
SWB-DM,sign_flip,0.1,0.5,7,48.07
SWB-DM,sign_flip,0.2,0.5,42,41.33
SWB-DM,sign_flip,0.2,0.1,42,15.37
SWB-DM,sign_flip,0.2,0.5,7,40.98
SWB-DM,sign_flip,0.2,0.1,7,13.73
SWB-DM,sign_flip,0.3,0.5,42,33.76
SWB-DM,sign_flip,0.3,0.1,42,10.15
SWB-DM,sign_flip,0.3,0.5,7,36.29
SWB-DM,sign_flip,0.3,0.1,7,12.33
SWB-DM,gaussian,0.1,0.5,42,47.32
SWB-DM,gaussian,0.1,0.1,42,20.81
SWB-DM,gaussian,0.1,0.1,7,16.15
SWB-DM,gaussian,0.1,0.5,7,47.69
SWB-DM,gaussian,0.2,0.5,42,46.16
SWB-DM,gaussian,0.2,0.1,42,12.94
SWB-DM,gaussian,0.2,0.5,7,45.14
SWB-DM,gaussian,0.2,0.1,7,10.98
SWB-DM,gaussian,0.3,0.5,42,42.57
SWB-DM,gaussian,0.3,0.1,42,10.68
SWB-DM,gaussian,0.3,0.5,7,44.36
SWB-DM,gaussian,0.3,0.1,7,15.67
SWB-DM,alie,0.1,0.5,42,56.20
SWB-DM,alie,0.1,0.5,7,55.76
SWB-DM,alie,0.1,0.1,42,21.61
SWB-DM,alie,0.1,0.1,7,18.68
SWB-DM,alie,0.2,0.5,42,47.74
SWB-DM,alie,0.2,0.5,7,49.46
SWB-DM,alie,0.2,0.1,42,20.62
SWB-DM,alie,0.2,0.1,7,20.93
SWB-DM,alie,0.3,0.5,42,41.29
SWB-DM,alie,0.3,0.5,7,37.83
SWB-DM,alie,0.3,0.1,42,18.51
SWB-DM,alie,0.3,0.1,7,20.45
SWB-DM,ipm,0.1,0.5,42,44.32
SWB-DM,ipm,0.1,0.1,42,18.69
SWB-DM,ipm,0.1,0.5,7,47.37
SWB-DM,ipm,0.1,0.1,7,20.34
SWB-DM,ipm,0.2,0.5,42,34.36
SWB-DM,ipm,0.2,0.5,7,42.05
SWB-DM,ipm,0.2,0.1,42,15.88
SWB-DM,ipm,0.2,0.1,7,17.48
SWB-DM,ipm,0.3,0.5,42,17.45
SWB-DM,ipm,0.3,0.5,7,20.56
SWB-DM,ipm,0.3,0.1,42,17.61
SWB-DM,ipm,0.3,0.1,7,10.00
